Country Name,Country Code,Series Name,Series Code,2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Bulgaria,BGR,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.397553876,3.026628392,2.745927259,2.694906553,4.035188947
Bulgaria,BGR,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,2221390000,1488430000,2007290000,1809860000,2221250000
Bulgaria,BGR,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,27,27,27.1,27.7,28.3
Bulgaria,BGR,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,72.46018,71.59242,71.69407,71.80724,71.97405
Burkina Faso,BFA,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132
Burkina Faso,BFA,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,31032905190,35340335155,39238401912,42835545277,45996298400
Burkina Faso,BFA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,1657.916107,1833.433053,1978.155012,2100.530924,2195.355619
Burkina Faso,BFA,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,3.921228794,5.957976708,6.203489411,6.604569068,5.486455427
Burkina Faso,BFA,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,231901703.7,390622353.4,2572690.322,268414907.9,162970140.3
Burkina Faso,BFA,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,41.3,41.3,41.3,41.3,41.3
Burkina Faso,BFA,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,50.6503,50.92322,51.15106,51.26807,51.40019
Burundi,BDI,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,1571.898333,1654.626667,1729.055,1782.876875,1845.622891
Burundi,BDI,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,8550074538,8358351140,8375481077,8714914014,9032050780
Burundi,BDI,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,797.0501141,766.5872206,750.7876163,758.2490316,760.6041261
Burundi,BDI,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,-3.90000008,-0.600000909,0.500001262,1.609935421,1.812565323
Burundi,BDI,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,49622865.77,55420.35666,316473.4494,983747.125,1044957.415
Burundi,BDI,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,40.3,40.1,41.5,41.2,41.2
Burundi,BDI,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,45.57052,45.68405,45.91224,46.47561,46.77393
Cabo Verde,CPV,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,99.38569354,99.68811364,97.80693777,93.41357891,98.49517859
Cabo Verde,CPV,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,3447009577,3735546946,4028604577,4278383732,4657722177
Cabo Verde,CPV,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,6242.705232,6689.804951,7130.854152,7490.141372,8071.889116
Cabo Verde,CPV,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,0.936026508,4.280714827,4.55131481,3.706964583,6.947826341
Cabo Verde,CPV,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,96071472.84,126312006.1,111711633.7,103550532.6,122921295
Cabo Verde,CPV,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,36.5,36.6,36.6,37,37.5
Cabo Verde,CPV,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,53.42938,53.40924,53.98064,54.00831,55.03925
Cambodia,KHM,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,4067.75,4058.694579,4050.579986,4051.1669,4061.148963
Cambodia,KHM,"GDP, PPP (current international $)",NY.GDP.MKTP.PP.CD,52598070985,57941724641,62890960722,69213257564,75424858955
Cambodia,KHM,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,3411.577267,3708.369109,3972.724164,4319.01589,4653.630366
Cambodia,KHM,GDP growth (annual %),NY.GDP.MKTP.KD.ZG,6.965797817,6.933313972,6.9969037,7.469169208,7.054106932
Cambodia,KHM,"Foreign direct investment, net inflows (BoP, current US$)",BX.KLT.DINV.CD.WD,1822804151,2475915854,2788084322,3212633447,3663032999
Cambodia,KHM,Total tax and contribution rate (% of profit),IC.TAX.TOTL.CP.ZS,21,21,21.7,21.7,23.1
Cambodia,KHM,Ease of doing business score (0 = lowest performance to 100 = best performance),IC.BUS.DFRN.XQ,52.87481,53.15749,53.38889,53.7971,53.84483
Cameroon,CMR,"Official exchange rate (LCU per US$, period average)",PA.NUS.FCRF,591.211698,592.6056151,580.6567496,555.4464584,585.9110132
